[sound:Alt_pronunciation.mp3] Alt <br> <i>Du bist nie zu jung oder alt, so zu fahren.</i>; old, age, alt <br> <i>You're never too young or old to drive like this.</i> 
[sound:Apfel_pronunciation.mp3] Apfel <br> <i>Weil ich ihr meinen Liebes- apfel nicht gegeben habe.</i>; apple <br> <i>Because I didn't give her my toffee apple.</i> 
[sound:Arbeiten_pronunciation.mp3] Arbeiten <br> <i>In einer technologischen Branche zu arbeiten, kann äußerst lohnend sein.</i>; work, operate, cooperate <br> <i>Working in a technological line of work can be extremely rewarding.</i> 
[sound:Auto_pronunciation.mp3] Auto <br> <i>Meine herren, ich fahre in meinem neuen auto heim.</i>; car, auto, drive <br> <i>Gentlemen... I'm going home in my new car.</i> 
[sound:Banane_pronunciation.mp3] Banane <br> <i>Rocket filled banane donkeys.:D Vor mehr als einem Jahr</i>; banana, plantain <br> <i>Rocket filled banana donkeys.:D over a year ago</i> 
[sound:Beginnen_pronunciation.mp3] Beginnen <br> <i>Frustriert sagte sie, es wäre am besten, das Projekt neu zu beginnen.</i>; start, begin, commence <br> <i>Feeling frustrated, she said it would be best to start over with the project.</i> 
[sound:Beide_pronunciation.mp3] Beide <br> <i>Immer wenn ihr Zerwürfnis erwähnt wurde, wurden sie beide sichtbar unwohl.</i>; both, two, each <br> <i>Whenever their falling out was mentioned, they both became visibly uncomfortable.</i> 
[sound:Beruf_pronunciation.mp3] Beruf <br> <i>10 jahr OEM geschichte, devation made beruf</i>; profession, job, work <br> <i>10 year of OEM history, devation made profession</i> 
[sound:Beruflich_pronunciation.mp3] Beruflich <br> <i>Du musst mit jemandem reden, der so etwas beruflich macht.</i>; professionally, professional, career <br> <i>You need to talk to someone who deals with this professionally.</i> 
[sound:Besuchen_pronunciation.mp3] Besuchen <br> <i>Dies ist ein zukünftiges ikonisches Wahrzeichen, das jeder besuchen möchte.</i>; visit, attend, see <br> <i>This is a soon-to-be iconic landmark that everyone will want to visit.</i> 
[sound:Beziehung_pronunciation.mp3] Beziehung <br> <i>Was tust du? - ich habe meine erste erwachsene beziehung.</i>; relationship, relation, related <br> <i>What are you doing? - Trying to have my first mature relationship.</i> 
[sound:Buch_pronunciation.mp3] Buch <br> <i>Er scheint zu überlegen, was er ins Geschichts- buch schreiben soll.</i>; book, buch, novel <br> <i>He seems to consider what he would write into the history book.</i> 
[sound:Deutschkurs_pronunciation.mp3] Deutschkurs <br> <i>Erst dann ist es faktisch oft erst möglich, an einem Deutschkurs teilzunehmen.</i>; German course, German language course, German courses <br> <i>Only subsequently is it actually possible for many to take a German course.</i> 
[sound:Einzelkind_pronunciation.mp3] Einzelkind <br> <i>Herr blues, ich bin ein einzelkind.</i>; only child, single child, only son <br> <i>Mr. Blues I am an only child.</i> 
[sound:Eltern_pronunciation.mp3] Eltern <br> <i>Ich bin sicher, deine eltern sind halb tot vor Sorge.</i>; parents, parent, parent's <br> <i>I'm sure your parents are worried sick about you.</i> 
[sound:Erst_pronunciation.mp3] Erst <br> <i>Das paradoxe daran ist, dass Veränderung erst dann möglich wird.</i>; only, first, just <br> <i>The paradox is, that only then does change become possible.</i> 
[sound:Fahrradfahren_pronunciation.mp3] Fahrradfahren <br> <i>Also jeden morgen laufen, schwimmen und fahrradfahren.</i>; cycling, biking, bicycling <br> <i>So, running every morning, swimming and cycling.</i> 
[sound:Familie_pronunciation.mp3] Familie <br> <i>Die kinder sind verwöhnt, als wären sie teil der familie.</i>; family, relatives, household <br> <i>The children are pampered as if they were part of the family.</i> 
[sound:Fertig_pronunciation.mp3] Fertig <br> <i>Wenn er fertig war, achtete er immer darauf, das Kerngehäuse wegzuwerfen.</i>; finished, ready, done <br> <i>When finished, he always made sure to throw away the apple core.</i> 
[sound:Firma_pronunciation.mp3] Firma <br> <i>So ist es wirklich bequem für sie zu unserer firma kommen.</i>; company, firm, business <br> <i>So it's really convenient for you to come to our company.</i> 
[sound:Fragen_pronunciation.mp3] Fragen <br> <i>I fange mich an zu fragen ob da überhaupt noch jemand war.</i>; question, ask, issue <br> <i>I'm starting to question whether there even was anyone else.</i> 
[sound:Frei_pronunciation.mp3] Frei <br> <i>Er fühlte sich frei, sich überall auszudrücken, nicht nur zu Hause.</i>; free, freely, clear <br> <i>He felt free to express himself anyplace, not just at home.</i> 
[sound:Gehen_pronunciation.mp3] Gehen <br> <i>Aufgebracht stand er auf und sagte, er würde sofort gehen.</i>; go, walk, leave <br> <i>In a huff, he stood up and said he would go off immediately.</i> 
[sound:Gehen_pronunciation.mp3] Gehen <br> <i>Aufgebracht stand er auf und sagte, er würde sofort gehen.</i>; go, walk, leave <br> <i>In a huff, he stood up and said he would go off immediately.</i> 
[sound:Gelernt_pronunciation.mp3] Gelernt <br> <i>Um über die Runden zu kommen, haben sie gelernt, gemeinsam auszukommen.</i>; learned, learnt, learn <br> <i>To make ends meet, they have learned to get by together.</i> 
[sound:Gleichen_pronunciation.mp3] Gleichen <br> <i>Er konterte frustriert, nachdem er erneut die gleichen Beschwerden hörte.</i>; same, equal, similar <br> <i>He shot back in frustration after hearing the same complaints once again.</i> 
[sound:Handy_pronunciation.mp3] Handy <br> <i>Kann wiederverwendet werden 1000 mal, Und können verschiedene handy</i>; mobile phone, mobile, cell phone <br> <i>Can be reused 1000 times, And can charge various mobile phone</i> 
[sound:Hauptberuflich_pronunciation.mp3] Hauptberuflich <br> <i>Sharon kümmert sich seitdem hauptberuflich um all diese armen Geschöpfe.</i>; full-time, full time, professional <br> <i>Sharon since then takes care of all these poor creatures in full-time.</i> 
[sound:Haus_pronunciation.mp3] Haus <br> <i>Alles zusammen in diesem schönen haus für einen ruhigen urlaub.</i>; house, home, building <br> <i>It all comes together in this beautiful house for a quiet holiday.</i> 
